review_text,review_title,rating,date,platform,app_version,language,thumbs_up_count,review_id,source_app,source_package,source_method
amazing app,,5,2026-09-12,play_store,18.16.1,en,0,687e7948-37cb-4400-b2d0-718bb259cc43,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nowadays this app work too slowly everything feels laggy we can't see Even how many stocks we pledged and we can't see our balance properly too many glitches,,5,2026-09-12,play_store,,en,0,c9f2102b-5acd-4c3a-8d87-0cfd12c361e5,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
real trust ❤️❤️,,5,2026-09-12,play_store,18.16.1,en,0,0a6598e2-2020-4a9b-ba34-47db0c433179,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
wonderful 😊 for life,,5,2026-09-12,play_store,18.16.1,en,0,cdd1646a-45ac-4255-b425-e1c99ccd89a4,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
too much charges,,1,2026-09-12,play_store,18.17.3,en,0,b15cce3f-2257-4c79-87b3-bff4fc99cba9,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
I withdraw money it not come 😭,,1,2026-09-12,play_store,18.16.1,en,0,f76a56fa-c043-4871-a41a-599412833159,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-12,play_store,18.16.1,en,0,de37db4e-a706-4770-b39d-63659af1e98d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Good,,5,2026-09-12,play_store,18.16.1,en,0,546ef0ab-d306-458b-a140-c2b5ca203486,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-12,play_store,18.17.3,en,1,78de6f80-bf77-4eed-a6fe-f93b4da68c3b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-12,play_store,18.17.3,en,1,77ffc317-8c92-48d2-a9e4-3390642f7972,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
wd waaas se,,1,2026-09-12,play_store,18.14.1,en,0,68959db8-b522-4aeb-9ad1-0a58c5fc49e2,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-12,play_store,18.17.3,en,0,51eb8847-7fde-49c3-bb62-4f7527a8124b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
